DATE,BAR NUMBER,DESCRIPTION
2017-11-21,53,-
2017-11-21,54,-
2017-11-21,55,-
2017-11-21,56,"BP B at MA but big BRB 54 so 2LSD, SA. More TTR likely"
2017-11-21,57,-
2017-11-21,58,-
2017-11-21,59,-
2017-11-21,60,-
2017-11-21,61,-
2017-11-21,62,-
2017-11-21,63,-
2017-11-21,64,-
2017-11-21,65,-
2017-11-21,66,-
2017-11-21,67,"LH MTR, but most F. need strong bear BO, else, will be f BO and H2 56"
2017-11-21,68,-
2017-11-21,69,-
2017-11-21,70,-
2017-11-21,71,"F BO, ok K for TRS up, but 4 H MGB, and 4 cc BRB 70 so poss 1 more leg down. Weak BO so prob not MMD"
2017-11-22,1,Big BLB but top of TTR. Still AIL from Y
2017-11-22,2,"LH MTR, PH, but middle of TTR"
2017-11-22,3,"ORV but doji and BRB, TTR, SA"
2017-11-22,4,-
2017-11-22,5,-
2017-11-22,6,"PB from LH MTR, 2es, but TTR, LOM"
2017-11-22,7,-
2017-11-22,8,-
2017-11-22,9,-
2017-11-22,10,-
2017-11-22,11,"3 CC brb, AIS, but small bars, bottom of TTR, not strong STC, poss 2LD in TR"
2017-11-22,12,-
2017-11-22,13,"BO, but bad STC, poss BB for big H2 B"
2017-11-22,14,"H2 3, big H2 81, PL, but 5 cc BRB, MRV"
2017-11-22,15,-
2017-11-22,16,-
2017-11-22,17,"BP S, but AIL, BB. Might test 13 L C"
2017-11-22,18,-
2017-11-22,19,-
2017-11-22,20,"LH, 50% PB in BR CH, 5t, STC BR 13 are scaling in for test of 13 C, but AIL, 7 BBLMC, prob BB around 13 C, then more TRD"
2017-11-22,21,-
2017-11-22,22,-
2017-11-22,23,-
2017-11-22,24,"DB at bottom of TR, PL"
2017-11-22,25,-
2017-11-22,26,"BP S, but BLB, just above DB, AIL, BB"
2017-11-22,27,-
2017-11-22,28,"Tri 14 24, PL, but small bar so poss one more new L. ok B if WSS"
2017-11-22,29,-
2017-11-22,30,-
2017-11-22,31,-
2017-11-22,32,-
2017-11-22,33,-
2017-11-22,34,-
2017-11-22,35,"f BO below Tri, ok B, but might fall a little further"
2017-11-22,36,-
2017-11-22,37,-
2017-11-22,38,-
2017-11-22,39,-
2017-11-22,40,-
2017-11-22,41,-
2017-11-22,42,-
2017-11-22,43,-
2017-11-22,44,"L2 at MA but 3 dojis, AIL, BB, and below LOD"
2017-11-22,45,-
2017-11-22,46,-
2017-11-22,47,-
2017-11-22,48,-
2017-11-22,49,-
2017-11-22,50,strong enough reversal so AIL and should test OOD. BB
2017-11-22,51,-
2017-11-22,52,-
2017-11-22,53,-
2017-11-22,54,-
2017-11-22,55,-
2017-11-22,56,-
2017-11-22,57,-
2017-11-22,58,-
2017-11-22,59,-
2017-11-22,60,-
2017-11-22,61,-
2017-11-22,62,-
2017-11-22,63,-
2017-11-22,64,"f BO ledge 49 H 2es, W 42 47, test OOD, but missed OOD by 2t. TRD, should get to within at least 1t of OOD. BB"
2017-11-22,65,-
2017-11-22,66,-
2017-11-22,67,-
2017-11-22,68,-
2017-11-22,69,"DB 61, test top of ledge, OOD MGA, OK B but need stop below 47 so big risk and small reward. Weak B, LOM"
2017-11-27,1,BRB but middle of Fri TTR
2017-11-27,2,"big BLB, still AIL, PL, but risk of OD day since W HH MTR on daily and in BX"
2017-11-27,3,"BTC, but increased risk of F BO HOY, then OD day"
2017-11-27,4,"3 BLB, BB, but risk of ORV down and F BO HOY, ok to wait"
2017-11-27,5,"big BRB, PH, but OD after doji so not HP. Ok to wait for 3 BRB"
2017-11-27,6,-
2017-11-27,7,-
2017-11-27,8,"H1 at MA, 50% PB, BT HOY, AIL, but 4 BR, SA, MRV. Odds are OD at some point today unless big bull BO"
2017-11-27,9,-
2017-11-27,10,-
2017-11-27,11,-
2017-11-27,12,-
2017-11-27,13,-
2017-11-27,14,"Tri 2 7, ok B, but still likely to trade below LOY at some point today"
2017-11-27,15,-
2017-11-27,16,"LH MTR, 2FBO HOY, test 3 C, PH, ok S, but HPW"
2017-11-27,17,-
2017-11-27,18,"another B, but apex of tri, BOM,"
2017-11-27,19,-
2017-11-27,20,-
2017-11-27,21,"BR RV, AIS"
2017-11-27,22,-
2017-11-27,23,-
2017-11-27,24,-
2017-11-27,25,"BP S, but 60ma SP just below, DBR. Poss BB, btw to S rally. BL want MDB and 2LT 7. 10% chance of BL RV back above HOY, but prob BLTR"
2017-11-27,26,-
2017-11-27,27,"f BO LOY, MDB, 2LT, MMD from H to OOD, ok swing B for BO HOY and OU after OD. Prob TRD and might C around OOD"
2017-11-27,28,"BO and FT, AIL, but prob BLTR, poss TTRD. Might get back to 14 H since that was a reasonable B"
2017-11-27,29,-
2017-11-27,30,"BP S at MA, but AIL, BB. BRSC"
2017-11-27,31,-
2017-11-27,32,-
2017-11-27,33,-
2017-11-27,34,-
2017-11-27,35,-
2017-11-27,36,"H2 but just below MA, prob SA for test 27 B SB H. might get new LOD and test 60ma, but prob not big bear day"
2017-11-27,37,-
2017-11-27,38,-
2017-11-27,39,-
2017-11-27,40,"H2, AIL, 50% PB, test 27 H, but still prob will remain TRD. Poss SA for test LOD and 60ma. Small quiet day so prob will stay TRD and C around OOD"
2017-11-27,41,-
2017-11-27,42,-
2017-11-27,43,-
2017-11-27,44,-
2017-11-27,45,-
2017-11-27,46,-
2017-11-27,47,-
2017-11-27,48,-
2017-11-27,49,-
2017-11-27,50,"H2 but 6 BRB, TTR, in S zone between OOD and HOY, SA"
2017-11-27,51,-
2017-11-27,52,-
2017-11-27,53,-
2017-11-27,54,"W 25 29 44, W 29 44, DT, but AIL, BB around 40 L, SA and up to 14 H. TRD"
2017-11-27,55,-
2017-11-27,56,-
2017-11-27,57,-
2017-11-27,58,-
2017-11-27,59,-
2017-11-27,60,"F BO DB 50 56, but TTR, room to 40 L, LOM. Should test 14 H since reasonable B, but btw since only 6t TTR"
2017-11-27,61,-
2017-11-27,62,-
2017-11-27,63,-
2017-11-27,64,-
2017-11-27,65,-
2017-11-27,66,-
2017-11-27,67,-
2017-11-27,68,-
2017-11-27,69,-
2017-11-27,70,"H2 60, AIL, but TTR, btw"
2017-11-28,1,"GU but BRB, PH. LP S since doji, LOM, btw"
2017-11-28,2,"BP B but doji, far above MA, prob SA"
2017-11-28,3,-
2017-11-28,4,"2FB HOY but BLB 3, TTR, LOM, btw"
2017-11-28,5,-
2017-11-28,6,-
2017-11-28,7,"H2 2 for PB from BO HOY, ORV up, PL, but too far above MA, TTR, LP B"
2017-11-28,8,-
2017-11-28,9,"BO and FT, AIL, BTC, but only 1 big BLB and ORV did not PB to MA, ok BB but not BTC"
2017-11-28,10,-
2017-11-28,11,"W 4 9 but BLB, AIL, LPS, BB, poss SPBL"
2017-11-28,12,-
2017-11-28,13,"BP B, AIL, poss SPBL, but top of weak rally"
2017-11-28,14,-
2017-11-28,15,-
2017-11-28,16,-
2017-11-28,17,"W 4 14, but 15t above 5 so prob will reach 17t. PH, but SS2"
2017-11-28,18,"BP B, 17t MGA, but doji, weak rally so might get reversal down from around top of 18 bar range"
2017-11-28,19,-
2017-11-28,20,"DT 15, W 15, top of 18 bar range 2es, ph, but MGA, blb, lps"
2017-11-28,21,-
2017-11-28,22,"H2, TGT 2t above HOD (17t above 5), but only 4t below tgt. Still SPBL, but more likely BLTR"
2017-11-28,23,-
2017-11-28,24,-
2017-11-28,25,-
2017-11-28,26,"Big BO, but biggest BL late in trend so poss EG"
2017-11-28,27,-
2017-11-28,28,-
2017-11-28,29,"iii BLF, at least small 2LU and poss MMU"
2017-11-28,30,-
2017-11-28,31,-
2017-11-28,32,-
2017-11-28,33,"BO, still BTC, but CBX so PB at any time"
2017-11-28,34,-
2017-11-28,35,-
2017-11-28,36,"PW 26 34, CBX, strong BRB, prob SD for at least 10 bars so TTR, LOM. AIBLE since prob not much more up. 30% chance of test of 26 L by eod"
2017-11-28,37,-
2017-11-28,38,-
2017-11-28,39,-
2017-11-28,40,"H1, AIL, but 5 bar TTR after CBX, prob sa and more TTR. Only B if WSS"
2017-11-28,41,-
2017-11-28,42,-
2017-11-28,43,-
2017-11-28,44,-
2017-11-28,45,"CBX, COL, W 26 36, AIBLE, ok swing S"
2017-11-28,46,-
2017-11-28,47,-
2017-11-28,48,"20GB B, but strong RV, AIS, SA. Might test 44 L"
2017-11-28,49,-
2017-11-28,50,-
2017-11-28,51,-
2017-11-28,52,-
2017-11-28,53,-
2017-11-28,54,-
2017-11-28,55,"H2 48, 50% PB, test 24 top of 1st W, 15ma, B zone, but BRB, AIS, SA near MA, 48 L, or 50 H"
2017-11-28,56,-
2017-11-28,57,-
2017-11-28,58,-
2017-11-28,59,-
2017-11-28,60,-
2017-11-28,61,"2 bar BO above MA, poss MG. prob SA HOD"
2017-11-28,62,-
2017-11-28,63,-
2017-11-28,64,-
2017-11-28,65,-
2017-11-28,66,-
2017-11-28,67,"ii, BP B, ok B but ET 36 44, CBX 61 63, BTC, poss FF. do not S"
2017-11-28,68,-
2017-11-28,69,-
2017-11-28,70,-
2017-11-28,71,"DD 67 ii, AIBLE, ok scalp S"
2017-11-28,72,-
2017-11-28,73,-
2017-11-28,74,"BP B, AIL. but doji, 3 BRB, SA and TR"
2017-11-29,1,"GU, F BO HOY, PH and PL"
2017-11-29,2,"Bull IB, test of G, PL, ok B"
2017-11-29,3,-
2017-11-29,4,-
2017-11-29,5,-
2017-11-29,6,"Pw 1 3 but BLB, t1b BL, BB"
2017-11-29,7,LBR made money above 4
2017-11-29,8,"F BO HOY 2es, PH"
2017-11-29,9,-
2017-11-29,10,-
2017-11-29,11,-
2017-11-29,12,"BR BO and FT but 3 tails, at COY and MA, poss DB 1, PL. prob bounce, but prob LH and TR after BUDC"
2017-11-29,13,-
2017-11-29,14,-
2017-11-29,15,"LH MTR, AIS, but only 2 bar rally. Strong BLB 14, prob more TR, but prob will fall below LOD at some point since 1st hour was BR rv bar"
2017-11-29,16,-
2017-11-29,17,-
2017-11-29,18,-
2017-11-29,19,"W 1 12, PL, but doji, AIS, TC, room to 50% PB, 74 L and 44 H so MGB. BBLO"
2017-11-29,20,-
2017-11-29,21,-
2017-11-29,22,"BP S, AIS, MGB, but BLTR"
2017-11-29,23,-
2017-11-29,24,"W 1 12 19, f BO 74, good B SB, ok B since PL, but LP since TC and TGTB, should fall to 44 H"
2017-11-29,25,-
2017-11-29,26,"BP S, AIS, TGTB"
2017-11-29,27,-
2017-11-29,28,"W but doji, TGTB"
2017-11-29,29,-
2017-11-29,30,-
2017-11-29,31,"W, f BO below 44 H so BT, 50% PB, prob BLTR soon, but big bear doji, BB2. Might fall to Y 55 C or 60ma"
2017-11-29,32,"F BO 44T and below BR CH, prob BRTR, PL, ok swing B, but prob MRV since TC. Should test OOD by EOD, and might C around OOD for DD"
2017-11-29,33,-
2017-11-29,34,-
2017-11-29,35,"BP S at MA, DT 26, AIS, but 4 BLB, 31 at SP, BB around 32 B SB H"
2017-11-29,36,-
2017-11-29,37,"HL, OOD MGA, AIL, but BLTR"
2017-11-29,38,-
2017-11-29,39,-
2017-11-29,40,-
2017-11-29,41,"L2 but AIL, TC, BSLO. TR likely so might test 37 L or LOD"
2017-11-29,42,-
2017-11-29,43,-
2017-11-29,44,DB 37 but BRB. TR
2017-11-29,45,-
2017-11-29,46,-
2017-11-29,47,-
2017-11-29,48,"DT 40, TR"
2017-11-29,49,-
2017-11-29,50,-
2017-11-29,51,-
2017-11-29,52,"DB, MDB but 4 BRB, LOM"
2017-11-29,53,-
2017-11-29,54,"nested H2, should test OOD, but maybe more TR 1st"
2017-11-29,55,-
2017-11-29,56,-
2017-11-29,57,-
2017-11-29,58,-
2017-11-29,59,-
2017-11-29,60,-
2017-11-29,61,-
2017-11-29,62,BR BO but HL likely so BTC for test OOD
2017-11-29,63,-
2017-11-29,64,"HL 2es, AIL, should test OOD so ok swing, but H in TTR so Lr P. BOM, TRSV"
2017-11-29,65,-
2017-11-29,66,-
2017-11-29,67,-
2017-11-29,68,-
2017-11-29,69,-
2017-11-29,70,"f BO, W 44 54, but only 1t body, ok swing for test of OOD, but HPW"
2017-11-30,1,"GU, O on L so prob will trade below L"
2017-11-30,2,"F BO HOY, MGB, PH, ok S"
2017-11-30,3,"BP B, but doji, still on S below 1"
2017-11-30,4,"f BO HOY 2es, ok swing S but early dojis, prob TRO"
2017-11-30,5,"DB, and a measured move up"">DBBF but BRB, TRO, prob SA and more SD to maybe WBLF near MA. Still on S below 2 and 4, but TRO so 50% chance of BO above 1, then more TR"
2017-11-30,6,-
2017-11-30,7,-
2017-11-30,8,-
2017-11-30,9,"F BO HOD, HH MTR, L2 2, ph, but 4 BLB, AIL, BB"
2017-11-30,10,-
2017-11-30,11,-
2017-11-30,12,"HH MTR, 2es, COL, ok swing S for HOD, but prob more TRO"
2017-11-30,13,-
2017-11-30,14,-
2017-11-30,15,"DB 5, another test of G below LOD, ok B"
2017-11-30,16,-
2017-11-30,17,-
2017-11-30,18,"big BO, more up, but poss TTRD since early small TR"
2017-11-30,19,-
2017-11-30,20,"BP B but tails, poss FF and UTR"
2017-11-30,21,-
2017-11-30,22,-
2017-11-30,23,"big bear bar, AIBLE, prob start of UTR in TTRD"
2017-11-30,24,-
2017-11-30,25,-
2017-11-30,26,-
2017-11-30,27,-
2017-11-30,28,"BP B near MA, BT 9 H, but 6 bar BR MC, prob UTR so prob SA and SA HOD. Might be SW for 2 hours. If TTRD, then 60% chance of PB at least 1t below 9 H before EOD"
2017-11-30,29,-
2017-11-30,30,-
2017-11-30,31,-
2017-11-30,32,"BO, more up"
2017-11-30,33,"cc big BLB, more up, btc, but prob W and SA 22"
2017-11-30,34,-
2017-11-30,35,-
2017-11-30,36,"pause, prob PTg soon, but still BTC. AIBLE 4t below BLB and 1t below BRB"
2017-11-30,37,-
2017-11-30,38,-
2017-11-30,39,-
2017-11-30,40,AIBLE 4t below
2017-11-30,41,-
2017-11-30,42,"BP B, but extreme BX, MM, F BO W 2 22, prob SD to bottom of ch"
2017-11-30,43,-
2017-11-30,44,"BX, 60 min PW, MDT 40 room to MA, ok S"
2017-11-30,45,-
2017-11-30,46,-
2017-11-30,47,-
2017-11-30,48,"20GB B but 2 big BRB, BB2, might test 22 H BO and maybe 27 L, prob AIS since new H unlikely and poss selloff to 27 L"
2017-11-30,49,-
2017-11-30,50,-
2017-11-30,51,"BO but not big, prob BRTR"
2017-11-30,52,-
2017-11-30,53,-
2017-11-30,54,"1t F BO below 22 H, good BLB, AIBRE, ok B but TC, AIS, HPW, prob TTR for rest of day"
2017-11-30,55,-
2017-11-30,56,-
2017-11-30,57,-
2017-11-30,58,"MDC at SP of 22 H BOP, ok B for test 42 L. AIS, TC, but odds favor TR so leg up"
2017-11-30,59,-
2017-11-30,60,"LH MTR, L2 at MA but prob TTR for rest of day"
2017-11-30,61,-
2017-11-30,62,-
2017-11-30,63,-
2017-11-30,64,-
2017-11-30,65,-
2017-11-30,66,-
2017-11-30,67,-
2017-11-30,68,-
2017-11-30,69,"DB HL 27, COH, AIBRE for close around middle of day at 22 H. ok B, but prob need MDB"
2017-12-4,1,"big GU but doji so increased chance of TRO and TRD, btw"
2017-12-4,2,"BLB, COH, AIL, PL, but far above MA, Fri was RD so TRD, btw"
2017-12-4,3,"f BO HOY but BLB, BB"
2017-12-4,4,-
2017-12-4,5,-
2017-12-4,6,"f BO HOY, 3 cc BRB, AIS, but TTR, LOM, btw. BL want to B closer to MA"
2017-12-4,7,-
2017-12-4,8,-
2017-12-4,9,-
2017-12-4,10,-
2017-12-4,11,-
2017-12-4,12,-
2017-12-4,13,-
2017-12-4,14,"Tri 1 10, good BLB, but too far above MA, LOM, btw"
2017-12-4,15,-
2017-12-4,16,"BR BO and FT, AIS, prob MMD, might C G above HOY and reach 50% PB"
2017-12-4,17,-
2017-12-4,18,-
2017-12-4,19,"BP S but doji, DBR, BLB, HOY, near 50% PB, BB and poss LTR in TTRD"
2017-12-4,20,-
2017-12-4,21,-
2017-12-4,22,"MDB at HOY, PL, but TTR, HPW"
2017-12-4,23,"L2 but CC BLB, AIL. Prob TTRD, should test above 10 L at bottom of UTR. Might be DD and C around OOD, like Y"
2017-12-4,24,-
2017-12-4,25,-
2017-12-4,26,-
2017-12-4,27,"W LH, G 10, ok S but prob scalp and more TTR. LOM. Should get back to OOD before EOD for poss DD. Might test 21 L for DB HL. BR CH, but prob TTRD and BB LOD"
2017-12-4,28,-
2017-12-4,29,-
2017-12-4,30,-
2017-12-4,31,-
2017-12-4,32,-
2017-12-4,33,-
2017-12-4,34,"DT HH, BRB, but prob will stay above 21 L, then test OOD"
2017-12-4,35,-
2017-12-4,36,-
2017-12-4,37,-
2017-12-4,38,-
2017-12-4,39,"DB 21 HL MTR, but 5 BRB so prob MRV. Should get back to OOD at some point for DD"
2017-12-4,40,-
2017-12-4,41,-
2017-12-4,42,-
2017-12-4,43,-
2017-12-4,44,"DT 33 but 5 BLB, MRV"
2017-12-4,45,-
2017-12-4,46,-
2017-12-4,47,-
2017-12-4,48,-
2017-12-4,49,-
2017-12-4,50,-
2017-12-4,51,-
2017-12-4,52,"DT 44, COL, 40% chance of test 38 L or TRSD for L1=2, but TTRNS"
2017-12-4,53,-
2017-12-4,54,-
2017-12-4,55,-
2017-12-4,56,"BO, COL, more down, but need strong BO below LOD, else more LTR"
2017-12-4,57,"FT, STC, might test COY and 60ma"
2017-12-4,58,-
2017-12-4,59,-
2017-12-4,60,-
2017-12-4,61,-
2017-12-4,62,"f BO, MM, BLB, but SA since COY, 60ma, and L1 = 2 below. BP S but COH, SX, BB, SS2"
2017-12-4,63,-
2017-12-4,64,-
2017-12-4,65,-
2017-12-4,66,"DTBF, but doji, 2 BLB COH, 60ma and COY MGB, prob FF"
2017-12-4,67,-
2017-12-4,68,"W 62 65, but middle of TTR and MGB. Ok swing B, AIBLE, but TC so MRV"
2017-12-4,69,"BP S, AIS, 60ma and COY MGB, but prob scalp only and BB and around 60ma"
2017-12-4,70,-
2017-12-4,71,-
2017-12-4,72,"F DB 70 and F W bottom, 60ma MGB, but MW bottom just above 60ma"
2017-12-5,1,"RB but BRB, TC, MRV"
2017-12-5,2,"BR IB, OK S, Y is S SB on daily so should trigger, but only 25% chance of big bear day after Y SX. Might get ID. TGTA is Y 68 W H and 18 L bottom of TR"
2017-12-5,3,-
2017-12-5,4,-
2017-12-5,5,"MDB 1, HL, PL and ID, but 5 BRBR MC, AIS, TTR, BB2"
2017-12-5,6,-
2017-12-5,7,-
2017-12-5,8,"L2, but strong 7, AIL. TTR, BTW. Bulls want ID, bears want to trigger S on daily chart by going below LOY"
2017-12-5,9,-
2017-12-5,10,-
2017-12-5,11,"W 1 7, MAG, ok S but TTR"
2017-12-5,12,"doji so weak S EB in TTR, ok to exit"
2017-12-5,13,-
2017-12-5,14,-
2017-12-5,15,"HL MTR, COH, PL for test Y 68 H, but big BLB at top of WBRF"
2017-12-5,16,-
2017-12-5,17,-
2017-12-5,18,"big BLB, BO above WBRF, prob MMU to 68 H and poss Y 18 L, but poss 2LT"
2017-12-5,19,"FT, prob MG, but SBL from Y 68 will take profits soon. 18BU so BL TD or TRD"
2017-12-5,20,-
2017-12-5,21,-
2017-12-5,22,"BP B, but at 1st TGT of 68 H, prob TR soon for poss TTRD. Only 10% chance of rally above HOY or selloff below LOD"
2017-12-5,23,-
2017-12-5,24,"H2, AIL, but at TGT, far above MA, 4 small bars, poss SA and then UTR in TTRD"
2017-12-5,25,"OD, but still AIL, prob TTRD, should test below Y 70 L so see if again get strong bear BO"
2017-12-5,26,-
2017-12-5,27,-
2017-12-5,28,-
2017-12-5,29,-
2017-12-5,30,"cc big BRB, AIS, BR RV, might test 14 L or LOD. TRD likely, but poss BR TD"
2017-12-5,31,-
2017-12-5,32,"F BO but doji, strong BO, 2LSD likely, SA"
2017-12-5,33,"BP S but 2 BLB, back in earlier TR, BB and TR likely"
2017-12-5,34,-
2017-12-5,35,"H2, HL MTR, but BRB, LPB"
2017-12-5,36,-
2017-12-5,37,-
2017-12-5,38,"L2, AIS, but tail, in earlier TR"
2017-12-5,39,-
2017-12-5,40,-
2017-12-5,41,-
2017-12-5,42,"DB 1 HL MTR but 6 bars without BLB, prob MRV"
2017-12-5,43,-
2017-12-5,44,-
2017-12-5,45,-
2017-12-5,46,-
2017-12-5,47,-
2017-12-5,48,-
2017-12-5,49,"L2 45, DTBF 38 but TTR"
2017-12-5,50,-
2017-12-5,51,-
2017-12-5,52,-
2017-12-5,53,-
2017-12-5,54,"HL but 6 BRB, BB2"
2017-12-5,55,-
2017-12-5,56,-
2017-12-5,57,-
2017-12-5,58,"cc big BRB, STC"
2017-12-5,59,-
2017-12-5,60,"BP S but doji, big tail 59, prob not much more down. AIBRE above any BLB and 4 – 5t above BRB"
2017-12-5,61,-
2017-12-5,62,-
2017-12-5,63,-
2017-12-5,64,-
2017-12-5,65,-
2017-12-5,66,-
2017-12-5,67,"W 59 62. AIBRE 4 – 5t above. TC, BB2"
2017-12-5,68,-
2017-12-5,69,-
2017-12-5,70,-
2017-12-5,71,"2BR, big 70 so prob EG, might test LOY since S SB on daily. BL want C above LOY. AIBRE, ok swing B, but better if Bt lower"
2017-12-5,72,"DTBF 68, ok swing S, but CC SX so BRTL, and now CC BLB, LPS. MRV, top of TR might be near LOY or only at MA"
2017-12-6,1,"BLB, F BO LOY, but tail. PL, should test Monday L, ok B but poss early TR"
2017-12-6,2,"big BLB, BTC, but just below MA, Y TC, MRV"
2017-12-6,3,"DT 78, but 3 BLB, BB, AIL"
2017-12-6,4,-
2017-12-6,5,"MDB but 2 big BRB, prob TR"
2017-12-6,6,-
2017-12-6,7,-
2017-12-6,8,"L2 at MA, but doji, TRO"
2017-12-6,9,-
2017-12-6,10,-
2017-12-6,11,-
2017-12-6,12,"DB HL MTR, PL, but 3 BRB, prob more SW"
2017-12-6,13,-
2017-12-6,14,-
2017-12-6,15,"LL MTR, F BO DB, 2BR, PL, ok swing B"
2017-12-6,16,-
2017-12-6,17,"BO, FT, AIL, 2LSU likely, should test Monday’s L and 60ma today, but poss TR 1st"
2017-12-6,18,-
2017-12-6,19,"F BO, but 4 strong BBR, BB. Poss BLTR so poss deep PB. More likely, will test 60ma at some point today"
2017-12-6,20,-
2017-12-6,21,"ET 3 7, F BO, MAG, but strong BO, BB"
2017-12-6,22,-
2017-12-6,23,"f BO 7 HOD 2es, LBRM, but BLB. Might get deep PB and TR"
2017-12-6,24,-
2017-12-6,25,"H2, BT 13 H, but big BRB 25, TRD likely so should fall below 13 H SP"
2017-12-6,26,-
2017-12-6,27,-
2017-12-6,28,-
2017-12-6,29,-
2017-12-6,30,-
2017-12-6,31,-
2017-12-6,32,-
2017-12-6,33,-
2017-12-6,34,-
2017-12-6,35,"BR BO below WBLF, FT, but TR more likely than BR so prob BTC"
2017-12-6,36,"BP S, but doji, prob BRTR and BB"
2017-12-6,37,HL MTR
2017-12-6,38,-
2017-12-6,39,-
2017-12-6,40,-
2017-12-6,41,LH but strong enough RV up so BB
2017-12-6,42,-
2017-12-6,43,-
2017-12-6,44,-
2017-12-6,45,"h2 B, AIL"
2017-12-6,46,-
2017-12-6,47,-
2017-12-6,48,"Tri B, AIL, will try to get to 60ma and Monday’s L"
2017-12-6,49,-
2017-12-6,50,-
2017-12-6,51,-
2017-12-6,52,-
2017-12-6,53,-
2017-12-6,54,"F BO 46, but 5 BLB, TGTA, BB"
2017-12-6,55,-
2017-12-6,56,-
2017-12-6,57,"BP B but BX and 2 BRB, SA"
2017-12-6,58,-
2017-12-6,59,-
2017-12-6,60,-
2017-12-6,61,"H2 at MA, AIL, TGTA"
2017-12-6,62,-
2017-12-6,63,-
2017-12-6,64,-
2017-12-6,65,"F BO, BL CH is BR flag, ET 53 55, but SPBL, LP stop entry S"
2017-12-6,66,"H1 but 2 BRB, top of weak rally and HOD, SA"
2017-12-6,67,-
2017-12-6,68,-
2017-12-6,69,"DT LH 64, OOD MGB, but TTR, L of Monday and 60ma MGA, quiet TRD so prob not going to get strong STC"
2017-12-7,1,"rollover day, but I usually wait until tomorrow to trade March because volume will be better for Dec today. BLB, but doji. DB HL MTR, still AIL from Y, but prob TRO"
2017-12-7,2,"CC BLB, but BRSC will STC since BLB at MA in middle of TR"
2017-12-7,3,"BP B but BR doji, SA"
2017-12-7,4,-
2017-12-7,5,-
2017-12-7,6,"HST BRF, should test below 3 H for LBR, but BB since 6 BBLMC. More TR, LOM"
2017-12-7,7,-
2017-12-7,8,"BP B but 2 BRB, PW 2 4 7, SA. LOM"
2017-12-7,9,-
2017-12-7,10,"H2, HOY and 60ma MGA, but doji, LOM, top of TTR and TR"
2017-12-7,11,-
2017-12-7,12,-
2017-12-7,13,"big BLB, BTC, BO HOY, testing 60ma, Monday’s L is magnet above since it was S SB. Poss 2LT"
2017-12-7,14,-
2017-12-7,15,"BP B, TGTA, but bear doji, SA. Still likely to get above Monday’s L since major RS and nearby, and 2 day TR so expect BO above RS before reversing down"
2017-12-7,16,-
2017-12-7,17,"H2, Monday L MGA, but prob SA around Monday’s L"
2017-12-7,18,-
2017-12-7,19,"PW 4 14, 2 d W Y 23 62, test Monday L, PH, but TC so prob MRV to test 7 H BOP for LBR. PW so poss 2LSD"
2017-12-7,20,-
2017-12-7,21,-
2017-12-7,22,-
2017-12-7,23,-
2017-12-7,24,"big BLB, G from L to 23 C so eager BL"
2017-12-7,25,-
2017-12-7,26,-
2017-12-7,27,"f BO, W 4 19, but 4 bars will G from L to prior C so eager BL, BB"
2017-12-7,28,-
2017-12-7,29,"H1, AIL, ok B, but BX, so poss 2LD PB"
2017-12-7,30,"W 4 19, MDT, BX, PH, but BLB, LPS, BB around 19 H and MA"
2017-12-7,31,-
2017-12-7,32,"H2, ok B but might get deeper PB after BX, far above ma. Might enter TR around Monday’s L, since Mon was S SB on daily and bears see this rally as PB from Tues BR BO"
2017-12-7,33,-
2017-12-7,34,-
2017-12-7,35,-
2017-12-7,36,-
2017-12-7,37,-
2017-12-7,38,-
2017-12-7,39,-
2017-12-7,40,"PB, COH, OK B, but TTR, poss SA HOD"
2017-12-7,41,-
2017-12-7,42,-
2017-12-7,43,"big OD, FF, PH, but TTR, MRV"
2017-12-7,44,-
2017-12-7,45,-
2017-12-7,46,"BP B, F BO below TTR, AIL, but LOM"
2017-12-7,47,-
2017-12-7,48,-
2017-12-7,49,-
2017-12-7,50,-
2017-12-7,51,"LH, but MRV after 4 cc BLB. Might test HOY since Y was weak B SB"
2017-12-7,52,-
2017-12-7,53,-
2017-12-7,54,"DB test Mon L, but 3 strong BRB, MGB"
2017-12-7,55,-
2017-12-7,56,"LH, MGB, but bottom of TTR"
2017-12-7,57,-
2017-12-7,58,-
2017-12-7,59,-
2017-12-7,60,"BO, MGB, more down, but prob will form TR, with bottom around 21 L. day will prob C around HOY or L of Mon"
2017-12-7,61,-
2017-12-7,62,-
2017-12-7,63,-
2017-12-7,64,"BT 7 H, DB 21, big BLB, H2 47, but 5 BRB, MRV, prob TR for rest of day"
2017-12-7,65,-
2017-12-7,66,-
2017-12-7,67,-
2017-12-7,68,-
2017-12-7,69,"HL, but prob TTR for rest of day"
2017-12-7,70,-
2017-12-7,71,-
2017-12-7,72,-
2017-12-7,73,"BP B but 3rd push up, TRD, SA"
2017-12-8,1,"GU but doji, 60 min DT LH MTR, LOM"
2017-12-8,2,-
2017-12-8,3,"BP B but TTR, far above MA, at RS"
2017-12-8,4,-
2017-12-8,5,-
2017-12-8,6,"f BO HOY 2es, DT Tues H, PH, ok swing S, but TTR, HPW"
2017-12-8,7,-
2017-12-8,8,-
2017-12-8,9,-
2017-12-8,10,"H2 ORV at MA, PL, but doji, prob more TRO"
2017-12-8,11,-
2017-12-8,12,-
2017-12-8,13,-
2017-12-8,14,-
2017-12-8,15,-
